rowid,target_id,target_id_label,ad_id,ad_id_label
1,ec3ac,ec3ac,3186,3186
2,13c3e,13c3e,3186,3186
3,371f0,371f0,3186,3186
4,5e075,5e075,3186,3186
5,59d75,59d75,3186,3186
6,e6200,e6200,3186,3186
7,b1201,b1201,3186,3186
8,902e5,902e5,3186,3186
9,8a7ee,8a7ee,3186,3186
10,862ed,862ed,3186,3186
11,6ec75,6ec75,3186,3186
12,5b456,5b456,3186,3186
13,a2d21,a2d21,3186,3186
14,a1307,a1307,3186,3186
15,77d7e,77d7e,3186,3186
16,4225c,4225c,3186,3186
17,c46d7,c46d7,3186,3186
18,e5437,e5437,3186,3186
19,b3b48,b3b48,3186,3186
20,27369,27369,3186,3186
21,ec3ac,ec3ac,1084,1084
22,96bbd,96bbd,1084,1084
23,313af,313af,1084,1084
24,ebe26,ebe26,1084,1084
25,1073c,1073c,1084,1084
26,4801f,4801f,1084,1084
27,5e075,5e075,1084,1084
28,59d75,59d75,1084,1084
29,e6200,e6200,1084,1084
30,b1201,b1201,1084,1084
31,cc5ed,cc5ed,3135,3135
32,d6ade,d6ade,3135,3135
33,8e7b3,8e7b3,3135,3135
34,2dfbd,2dfbd,3135,3135
35,4e7f1,4e7f1,3135,3135
36,a0f55,a0f55,3135,3135
37,371f0,371f0,3135,3135
38,e6200,e6200,3135,3135
39,b1201,b1201,3135,3135
40,cc5ed,cc5ed,3167,3167
41,d6ade,d6ade,3167,3167
42,8e7b3,8e7b3,3167,3167
43,2dfbd,2dfbd,3167,3167
44,4e7f1,4e7f1,3167,3167
45,a0f55,a0f55,3167,3167
46,371f0,371f0,3167,3167
47,e6200,e6200,3167,3167
48,b1201,b1201,3167,3167
49,ec3ac,ec3ac,1139,1139
50,4801f,4801f,1139,1139
51,5e075,5e075,1139,1139
52,59d75,59d75,1139,1139
53,e6200,e6200,1139,1139
54,b1201,b1201,1139,1139
55,d6347,d6347,1139,1139
56,ebf60,ebf60,1139,1139
57,9a8c6,9a8c6,1139,1139
58,a2d21,a2d21,1139,1139
59,a1307,a1307,1139,1139
60,abb72,abb72,1139,1139
61,41b26,41b26,1139,1139
62,2db78,2db78,1139,1139
63,6a38c,6a38c,1139,1139
64,e128e,e128e,1139,1139
65,cc5ed,cc5ed,3169,3169
66,d6ade,d6ade,3169,3169
67,8e7b3,8e7b3,3169,3169
68,d4179,d4179,3169,3169
69,313af,313af,3169,3169
