id,name,category,prefix
00412,interests:African American,interests,interests
004c1,location:united_states:Detroit (+40 km) Michigan,location,location:united_states
007df,people_who_match:interests:Latin hip hop,people_who_match,people_who_match:interests
009ee,people_who_match:interests:Law Enforcement Life,people_who_match,people_who_match:interests
00a4c,people_who_match:interests:LGBT history,people_who_match,people_who_match:interests
00d26,gender:Female,gender,gender
0124a,and_must_also_match:interests:SeIf—defense (United States),and_must_also_match,and_must_also_match:interests
014b0,age:13 — 65+,age,age
0150a,people_who_match:interests:Patriot (American Revolution),people_who_match,people_who_match:interests
0160d,people_who_match:interests:Employers: Syria,people_who_match,people_who_match:interests:Employers
016b2,and_must_also_match:interests:African—American culture,and_must_also_match,and_must_also_match:interests
0184a,people_who_match:interests:madeas family reunion,people_who_match,people_who_match:interests
01e8a,and_must_also_match:interests:Right of self—defense,and_must_also_match,and_must_also_match:interests
022da,people_who_match:People who like LGBT United,people_who_match,people_who_match
0250c,location:united_states:Cleveland (+20 km) Ohio,location,location:united_states
027ea,location:united_states:Rhode Island,location,location:united_states
02903,location:united_states:Arkansas,location,location:united_states
0299f,interests:Turkey,interests,interests
02a85,politics:Likely to engage with political content (conservative),politics,politics
02db8,interests:African— American history,interests,interests
03298,people_who_match:interests:Illegal immigration,people_who_match,people_who_match:interests
0335c,people_who_match:interests:Mike Pence,people_who_match,people_who_match:interests
03778,people_who_match:interests:Personal Defense,people_who_match,people_who_match:interests
03c04,people_who_match:interests:African-American literature,people_who_match,people_who_match:interests
03f36,people_who_match:interests:Islam,people_who_match,people_who_match:interests
04182,and_must_also_match:interests:National Association for Gun Rights,and_must_also_match,and_must_also_match:interests
041e4,and_must_also_match:interests:Jesus,and_must_also_match,and_must_also_match:interests
04482,people_who_match:interests:Medina,people_who_match,people_who_match:interests
045ef,location:united_states:Louisiana,location,location:united_states
04629,interest_expansion:On,interest_expansion,interest_expansion
04bf8,location:united_states:Milwaukee (+20 km) Wisconsin,location,location:united_states
04e82,people_who_match:interests:Malcolm X or Black (Color),people_who_match,people_who_match:interests
04ece,people_who_match:interests:American patriotism,people_who_match,people_who_match:interests
0524b,interests:Same-sex marriage,interests,interests
05b00,people_who_match:interests:Sheikh,people_who_match,people_who_match:interests
05b1e,age:18 - 48,age,age
06abe,location:united_states:Ferguson (+40 km) Missouri,location,location:united_states
06ae5,and_must_also_match:interests:Martin Luther King,and_must_also_match,and_must_also_match:interests
06d39,and_must_also_match:interests:SeIf-defense,and_must_also_match,and_must_also_match:interests
06e38,and_must_also_match:interests:Black nationalism,and_must_also_match,and_must_also_match:interests
0733f,interests:Muslim Brotherhood,interests,interests
073d4,location_living_in:united_states:Waco (+39 mi) Texas,location_living_in,location_living_in:united_states
0771c,interests:Funny Photo's,interests,interests
07b46,job_title:Veteran,job_title,job_title
07bb3,and_must_also_match:interests:The Second Amendment or Gun Rights,and_must_also_match,and_must_also_match:interests
07bd5,people_who_match:interests:Being Latino,people_who_match,people_who_match:interests
